age,screen_time,social_media,sleep_hours,academic_pressure,living_Living in hostel,living_Living in hostel/PG,living_Living with family,meditation_Never,meditation_Occasionally (1–2 times per week),meditation_Rarely (less than once per week),meditation_Regularly (5+ times per week),productivity_Almost entirely productive (80–100%),productivity_Mostly productive (60–80%),productivity_Some (20–40%),productivity_Very little (0–20%),label
17,5,3,5,5,True,False,False,True,False,False,False,False,False,False,False,1
19,6,2,7,4,False,False,True,False,False,True,False,False,False,False,False,1
17,7,4,7,5,True,False,False,True,False,False,False,False,False,False,True,1
17,4,4,7,4,True,False,False,False,False,True,False,False,False,False,False,1
21,4,2,10,1,True,False,False,True,False,False,False,False,False,False,True,0
20,6,4,7,5,False,False,False,True,False,False,False,False,False,True,False,1
21,7,6,6,4,False,False,True,False,False,True,False,False,True,False,False,1
20,6,2,6,4,True,False,False,True,False,False,False,False,True,False,False,1
19,5,2,8,3,True,False,False,False,False,False,True,True,False,False,False,1
21,4,2,10,5,True,False,False,True,False,False,False,False,False,True,False,0
20,6,3,7,4,False,False,False,False,False,True,False,False,False,False,False,1
20,7,4,8,2,True,False,False,False,False,True,False,False,False,False,False,1
23,9,5,7,5,True,False,False,False,False,True,False,False,False,False,False,1
19,9,3,6,1,False,False,True,False,False,False,False,False,False,False,False,1
20,3,2,5,4,False,False,True,True,False,False,False,False,False,False,True,1
21,5,2,7,1,False,False,True,False,False,True,False,False,False,False,True,0
21,2,5,7,5,False,True,False,False,False,True,False,False,False,False,False,1
20,10,6,6,5,False,True,False,False,False,False,False,False,False,False,False,1
23,7,4,10,4,False,True,False,True,False,False,False,False,False,True,False,0
17,4,1,6,4,False,True,False,False,True,False,False,True,False,False,False,0
24,2,1,7,2,False,True,False,False,True,False,False,False,False,False,True,1
21,6,3,7,4,False,True,False,False,False,True,False,False,True,False,False,0
23,8,2,7,3,False,False,False,False,False,False,False,False,True,False,False,0
21,7,2,6,4,False,True,False,False,False,True,False,False,False,True,False,1
21,3,2,6,4,False,True,False,False,False,True,False,False,False,False,True,0
20,10,3,5,5,False,True,False,True,False,False,False,False,False,True,False,1
19,3,1,7,5,False,True,False,False,True,False,False,False,True,False,False,1
22,2,1,7,4,False,True,False,False,False,False,True,False,True,False,False,0
17,10,6,2,5,False,True,False,True,False,False,False,False,False,False,True,1
21,5,2,7,4,False,True,False,False,True,False,False,False,False,True,False,0
20,3,3,4,5,False,True,False,True,False,False,False,False,False,False,False,0
21,4,1,6,4,False,False,True,False,False,True,False,False,False,True,False,0
21,6,4,6,3,False,False,True,False,False,True,False,False,False,True,False,1
19,5,2,7,5,False,True,False,True,False,False,False,False,False,False,False,1
20,2,2,6,3,False,False,True,False,False,True,False,False,True,False,False,1
20,4,1,8,3,False,True,False,False,False,False,False,False,True,False,False,0
20,5,2,6,5,False,True,False,False,False,True,False,False,False,True,False,1
23,9,5,4,4,False,False,True,False,True,False,False,False,False,False,True,1
20,3,2,7,3,False,True,False,False,False,False,True,False,False,True,False,0
21,6,3,7,2,False,False,True,False,False,True,False,False,False,False,False,0
21,2,1,8,4,False,True,False,False,True,False,False,False,False,False,False,0
18,5,3,6,5,False,True,False,True,False,False,False,False,False,True,False,1
21,2,2,7,1,False,True,False,False,False,True,False,False,False,False,False,0
21,4,2,8,3,False,True,False,False,False,True,False,False,False,False,False,0
21,5,3,8,3,False,False,False,False,False,False,False,False,False,False,False,0
20,6,3,5,5,False,True,False,True,False,False,False,False,False,False,True,1
22,4,2,8,5,False,True,False,True,False,False,False,False,False,True,False,1
21,4,4,5,5,False,True,False,False,False,True,False,False,False,False,False,1
22,5,5,8,3,False,True,False,True,False,False,False,False,False,False,False,0
20,10,6,8,3,False,False,True,True,False,False,False,False,True,False,False,1
20,8,1,8,5,False,False,True,False,False,False,True,False,True,False,False,0
20,8,5,4,4,False,True,False,False,False,False,False,False,False,True,False,1
21,7,4,7,3,False,True,False,False,False,True,False,False,False,False,False,1
20,7,5,7,4,False,True,False,False,False,True,False,False,False,False,True,0
21,8,2,6,1,False,True,False,False,False,False,True,False,False,False,False,0
20,8,1,8,5,False,True,False,True,False,False,False,False,False,True,False,0
20,8,2,7,3,False,True,False,False,True,False,False,False,False,True,False,0
18,8,2,7,1,False,False,True,False,False,False,True,True,False,False,False,0
19,3,1,10,3,False,True,False,False,False,False,False,False,False,False,False,1
24,9,3,6,5,False,True,False,False,False,True,False,False,False,False,False,1
23,8,3,4,5,False,False,False,False,True,False,False,False,False,True,False,1
17,2,1,6,2,False,False,True,False,True,False,False,False,False,False,False,1
21,6,4,5,5,False,True,False,True,False,False,False,False,False,True,False,1
24,2,1,8,2,False,False,False,False,False,False,True,False,False,False,True,0
